
2024/04/11 (16:07:07) | ===> btop++ v.1.3.2
2024/04/11 (16:07:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (15:41:56) | ===> btop++ v.1.3.2
2024/04/12 (15:41:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (16:09:41) | ===> btop++ v.1.3.2
2024/04/12 (16:09:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (16:53:14) | ===> btop++ v.1.3.2
2024/04/12 (16:53:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (18:04:19) | ===> btop++ v.1.3.2
2024/04/12 (18:04:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (18:14:43) | ===> btop++ v.1.3.2
2024/04/12 (18:14:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (18:26:01) | ===> btop++ v.1.3.2
2024/04/12 (18:26:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (22:24:46) | ===> btop++ v.1.3.2
2024/04/12 (22:24:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (23:10:54) | ===> btop++ v.1.3.2
2024/04/12 (23:10:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (00:25:50) | ===> btop++ v.1.3.2
2024/04/13 (00:25:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (00:42:31) | ===> btop++ v.1.3.2
2024/04/13 (00:42:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (01:34:05) | ===> btop++ v.1.3.2
2024/04/13 (01:34:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (05:21:43) | ===> btop++ v.1.3.2
2024/04/13 (05:21:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (05:30:48) | ===> btop++ v.1.3.2
2024/04/13 (05:30:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (06:43:42) | ===> btop++ v.1.3.2
2024/04/13 (06:43:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (16:30:21) | ===> btop++ v.1.3.2
2024/04/13 (16:30:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (17:14:54) | ===> btop++ v.1.3.2
2024/04/13 (17:14:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (19:53:28) | ===> btop++ v.1.3.2
2024/04/13 (19:53:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/14 (05:53:15) | ===> btop++ v.1.3.2
2024/04/14 (05:53:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/14 (22:09:44) | ===> btop++ v.1.3.2
2024/04/14 (22:09:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (22:30:12) | INFO: Logger set to INFO
2024/04/14 (22:30:12) | INFO: Logger set to DEBUG
2024/04/14 (22:30:13) | INFO: Logger set to INFO

2024/04/14 (22:31:11) | ===> btop++ v.1.3.2
2024/04/14 (22:31:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (10:20:49) | ===> btop++ v.1.3.2
2024/04/15 (10:20:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (10:21:02) | ===> btop++ v.1.3.2
2024/04/15 (10:21:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (11:06:30) | ===> btop++ v.1.3.2
2024/04/15 (11:06:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (11:09:14) | ===> btop++ v.1.3.2
2024/04/15 (11:09:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (23:34:05) | ===> btop++ v.1.3.2
2024/04/15 (23:34:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (23:35:03) | ===> btop++ v.1.3.2
2024/04/15 (23:35:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (23:38:08) | ===> btop++ v.1.3.2
2024/04/15 (23:38:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (23:40:54) | ===> btop++ v.1.3.2
2024/04/15 (23:40:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (00:08:14) | ===> btop++ v.1.3.2
2024/04/16 (00:08:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (03:27:14) | ===> btop++ v.1.3.2
2024/04/16 (03:27:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (07:03:04) | ===> btop++ v.1.3.2
2024/04/16 (07:03:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (08:55:36) | ===> btop++ v.1.3.2
2024/04/16 (08:55:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (10:44:48) | ===> btop++ v.1.3.2
2024/04/16 (10:44:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (20:56:18) | ===> btop++ v.1.3.2
2024/04/16 (20:56:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (20:56:35) | ===> btop++ v.1.3.2
2024/04/16 (20:56:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (21:11:41) | ===> btop++ v.1.3.2
2024/04/16 (21:11:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (21:22:19) | ===> btop++ v.1.3.2
2024/04/16 (21:22:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (21:38:10) | ===> btop++ v.1.3.2
2024/04/16 (21:38:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (21:38:18) | ===> btop++ v.1.3.2
2024/04/16 (21:38:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (11:51:07) | ===> btop++ v.1.3.2
2024/04/17 (11:51:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (17:18:34) | ===> btop++ v.1.3.2
2024/04/18 (17:18:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (17:35:49) | ===> btop++ v.1.3.2
2024/04/18 (17:35:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (23:13:58) | ===> btop++ v.1.3.2
2024/04/18 (23:13:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (20:10:46) | ===> btop++ v.1.3.2
2024/04/19 (20:10:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (22:49:10) | ===> btop++ v.1.3.2
2024/04/19 (22:49:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (22:51:52) | ===> btop++ v.1.3.2
2024/04/19 (22:51:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (23:09:46) | ===> btop++ v.1.3.2
